lat,lon
40.93319106240668,-77.77330024146214
40.932757444218986,-77.7729796196276
40.932973952431645,-77.77221671489265
40.933255152484804,-77.7713852520847
40.933519073298335,-77.77052299744707
40.93374457245767,-77.7697600804502
40.934103412827874,-77.76888285071482
40.93440820650568,-77.76800558075477
40.93472826455652,-77.76724251102465
40.935045465788036,-77.76641065216685
40.93521147381486,-77.76568604694464
40.93537711259167,-77.76497663980884
40.93523128102646,-77.76429766031524
40.93468596383997,-77.76393902427182
40.93425726232729,-77.76341230446967
40.93393109955526,-77.76274103862089
40.9336077961614,-77.76213818850009
40.933229524762666,-77.7615738789601
40.932835736777385,-77.76109317745906
40.93294591621643,-77.76025380232987
40.933324584225296,-77.75967389623081
40.9337355611067,-77.75887301496276
40.93400546794748,-77.75813305817215
40.93433051104052,-77.75734714074204
40.93462183871818,-77.75665259975578
40.93499183760765,-77.75605782326603
40.93530780186685,-77.75546264903116
40.93570141561528,-77.75482170521539
40.93607536391894,-77.75424971358943
40.93639600441148,-77.75364692116477
40.93684473903278,-77.75296036683069
40.93720432315396,-77.75223521103898
40.937465130018346,-77.75168595952341
40.936971304695895,-77.75124381389378
40.936445789903715,-77.7508085249458
40.93600509866942,-77.75040422933773
40.93524653256919,-77.74973288043081
40.93467596835291,-77.74929797336071
40.93400991528317,-77.74890142341374
40.93331812253227,-77.74845111242156
40.932656573702474,-77.74805439550356
40.9320931874054,-77.74769590092569
40.93143723052582,-77.74725341133879
40.930810793513984,-77.74689491536294
40.930352620519855,-77.7464676903334
40.93007807901103,-77.74570479221391
40.92982768765328,-77.74487313000705
40.92963707094091,-77.74417866513454
40.92970299295942,-77.7433014699411
40.92997393135297,-77.74232475978857
40.930152976228804,-77.7414244030882
40.93013923739315,-77.74067676583293
40.92954768709473,-77.74055470024318
40.929012826646655,-77.74069995780192
40.9283290385239,-77.74066908550415
40.92772836193371,-77.74017331152994
40.92728515370334,-77.7394944200979
40.92691490361231,-77.73877735985884
40.92685916637768,-77.7380907412802
40.92731464928368,-77.73749537532066
40.92717838869969,-77.73678576020853
40.92669331286583,-77.73654158605447
40.926265736692336,-77.73596208763425
40.925801416991305,-77.73541262391558
40.92565903069309,-77.73458105667338
40.92580291389679,-77.73345180300267
40.9258995803583,-77.73241411493565
40.92622283290043,-77.7315063680159
40.926595796544646,-77.73059101135973
40.92664179998323,-77.72978983943125
40.926582414187216,-77.72906485673364
40.926581949432865,-77.72794336496106
40.92677260153253,-77.72673807244841
40.92711725346339,-77.72568532082674
40.92748206981106,-77.72492210910119
40.92778562355403,-77.72427364185512
40.92825471948464,-77.72367093783818
40.92862545907837,-77.72284708260186
40.92887369890346,-77.72225199036022
40.928268976802606,-77.7221147067559
40.92773955646876,-77.7220306180783
40.927162572762164,-77.72186293441865
40.92654146474608,-77.72165670303879
40.9258425334613,-77.72131331408157
40.9253168854317,-77.72106944843249
40.92484006141307,-77.72085579391575
40.92417318965627,-77.72068035812207
40.92356342272422,-77.72056590128807
40.92294122637761,-77.72059640124932
40.92220896858087,-77.72071070103479
40.92170313581899,-77.72077195037592
40.92095682910391,-77.72071831698729
40.92052035371474,-77.72013081443454
40.92021843451803,-77.71937555045324
40.91974177980944,-77.71858195915175
40.919359513911715,-77.71817778262064
40.91884809769261,-77.71790301180613
40.918274354228,-77.71778858476263
40.91758929227363,-77.71781133965155
40.917117870484155,-77.71794117937324
40.9165149562005,-77.71829975801116
40.915864662392345,-77.71875768269177
40.915380099044356,-77.719253562044
40.91483049912281,-77.7198335896552
40.91440483987186,-77.72031406039663
40.913869104076994,-77.72011584398291
40.913442356042566,-77.71949764326378
40.91305180307259,-77.71868132181496
40.91260881949633,-77.71779644788994
40.91218925777535,-77.71706392261542
40.91176014240333,-77.71635438969105
40.91114243571246,-77.7161944111844
40.91060564245533,-77.71642286175604
40.90999425902537,-77.71675881474559
40.90937206900287,-77.71698004903287
40.9087556376144,-77.71695702417456
40.90812479125841,-77.71697236458877
40.907380995029115,-77.7170031122768
40.906852482090734,-77.71726230556122
40.906343239103165,-77.71765917961415
40.9057905918472,-77.71817780785146
40.90522964734977,-77.71847535240097
