lat,lon
40.928280419892864,-77.72211627896534
40.927129706549046,-77.72104379601937
40.92344098609662,-77.71705276307151
40.918564741251764,-77.71184754303312
40.91685208559122,-77.7094184474717
40.91448155117754,-77.7050804599825
40.912110015475555,-77.70039591387975
40.90973913803447,-77.69605856501096
40.90591800938784,-77.68998726057538
40.90342676242611,-77.68785386245673
40.90345887383567,-77.68775706429096
40.90347325968896,-77.68771364080223
40.90347642655427,-77.68770142877607
40.903576998829436,-77.68732013997136
40.90355180613991,-77.6870520173413
40.90333076160926,-77.68687406815938
40.9030496931315,-77.6867251177196
40.90299709995258,-77.68669713302788
40.90262986478019,-77.68660840727752
40.90227146797472,-77.68652690882567
40.90195743033238,-77.68647340325127
40.901647355329615,-77.68629690315986
40.90163774115162,-77.68628289510305
40.90149437838749,-77.68605920874134
40.901348789557495,-77.6855389010528
40.901320882042995,-77.68548240701956
40.90111651318546,-77.68507022875112
40.900949296988564,-77.68483481406976
40.90093770860655,-77.68481854749038
40.900712427145415,-77.68443759408997
40.90050886485022,-77.6840918904292
40.90049787910956,-77.68407969297564
40.90021036243273,-77.68376256251678
40.89986394232038,-77.68348347603157
40.89983897109393,-77.68346315405833
40.899449958373495,-77.68295351324757
40.899135533483125,-77.68253694597885
40.89889401691508,-77.68227223132683
40.89870162766211,-77.68183203232772
40.898692954526226,-77.68181485950265
40.89843027134603,-77.68129877515709
40.898263111282525,-77.68102720760821
40.89819605794203,-77.68091785773463
40.89788808663622,-77.68040680245846
40.89779854633276,-77.68027396604478
40.897544261308475,-77.67989669450688
40.897296876345315,-77.6795836228789
40.89723807714519,-77.67950908225296
40.896892654419126,-77.67905731193117
40.89678269312707,-77.67891500651025
40.896564830776455,-77.6786340119677
40.896265963828284,-77.6782956862598
40.89623575083574,-77.67826135686441
40.895959154239705,-77.67814907732306
40.89560642793863,-77.67782076300081
40.89518111835679,-77.67732614878705
40.895135630628765,-77.67728053408374
40.89490398546698,-77.67704704065736
40.8946344333822,-77.6768203729683
40.894590323298935,-77.67678334783425
40.89450354552372,-77.67668488138918
40.894271028027,-77.67643059563389
40.894093871736445,-77.67623728590539
40.89399285081771,-77.67613160299734
40.89371404713988,-77.675925750106
40.89338395768708,-77.67559698118116
40.89327975556226,-77.675480453221
40.893129896812546,-77.67532373924746
40.89292750950481,-77.67511147582924
40.892882707652,-77.67506676766637
40.89251271340772,-77.67470956993255
40.89224987391543,-77.67439429901356
40.892195714947356,-77.6743378477486
40.891968607214324,-77.67410075303583
40.89176753945692,-77.6739413919574
40.89168996145756,-77.67387999544545
40.89142899347779,-77.67367323439443
40.89114226045501,-77.67341677384498
40.89111488766491,-77.67339917379681
40.89086715918283,-77.67323941932875
40.89067231172274,-77.67314832308186
40.8906653749235,-77.67316415462336
40.890555202048475,-77.67348346408046
40.890361009785174,-77.6738584776687
40.89034310685952,-77.67389330978469
40.89031006161049,-77.67398693183088
40.890237035742174,-77.6741927195392
40.89013949875016,-77.67442837321337
40.8900852981055,-77.67456813258384
40.890039624559485,-77.67463238230742
40.88988358932931,-77.67486584102656
40.88968837643223,-77.67513008549003
40.88968152157073,-77.67514049139687
40.88952976764359,-77.67536444888165
40.889402136154644,-77.67562092845236
40.88927733940492,-77.67601709916119
40.88924541211948,-77.67611795077445
40.88918260637646,-77.67635039450134
40.889076447398494,-77.67665657640086
40.889046382713666,-77.67672035419653
40.88894035235148,-77.67696098223128
40.888829696766514,-77.67721246466071
40.88881496720962,-77.67724864779369
40.88864493021439,-77.6775924199135
40.88848026805993,-77.67789233231329
40.888466051200616,-77.67792580204197
40.88833732793878,-77.67822838603637
40.88821225209787,-77.67860420201932
40.88812122668276,-77.67898088393973
40.888038156297846,-77.67932455443201
40.88802703572938,-77.67937248685236
40.887916070477914,-77.67968680104437
40.8878385908955,-77.67991970437608
40.88770911223741,-77.6802579965074
40.8877044025652,-77.68027065967786
40.88768760856404,-77.68029870629898
40.88759361784509,-77.68046290986761
40.88741403221169,-77.6807763882597
40.887336063024776,-77.68091254497293
40.887272488730986,-77.68102472630642
40.88726452049375,-77.68103874898036
40.887112864984935,-77.6813029190416
40.88699551131542,-77.68155710657034
40.88693028182378,-77.68177100468314
40.88691615959171,-77.68182119935511
40.886837505529535,-77.68210563400477
40.8868038448183,-77.68218523334275
40.88679066159027,-77.68222819371975
40.886775229514264,-77.68223951141171
40.886618963549395,-77.68239925326522
40.88648630814016,-77.68245409007301
40.88647481990426,-77.68246269119246
40.88634450513507,-77.6825595676963
40.88623485416741,-77.68264466889
40.88622774050698,-77.6826537175285
40.88600764367295,-77.6829310594539
40.88581646179225,-77.68330013925687
40.88561194604978,-77.68367736750498
40.88541520992274,-77.68401254384692
40.885406127340005,-77.68402837512768
40.88517453569116,-77.68438347482252
40.88498836175645,-77.68466890984787
40.884957083265064,-77.68471776327563
40.88484602006848,-77.68488603913232
40.884705605758924,-77.6850995491173
40.88464677480579,-77.68518911440422
40.88442010856927,-77.6855392284688
40.884137052128736,-77.68589888823105
40.88397226530279,-77.68609162304777
40.883944366315426,-77.68612645815588
40.883929624067925,-77.68614500659804
40.88373289412306,-77.68642727708075
40.883520270003295,-77.68666300014912
40.88332511155021,-77.68691995115674
40.88309136649501,-77.68719682753421
40.883001882916055,-77.68730856820447
40.882894983986255,-77.68741354448257
40.88275174079864,-77.68756014296949
40.88259880356669,-77.68770358570667
40.88254209635806,-77.68775924062452
40.88231582339936,-77.68790049151663
40.88214198698736,-77.6880190900452
40.881988995512124,-77.68814264075034
40.88195838847691,-77.68816707960772
40.88169821657914,-77.68851177597926
40.881499840697636,-77.68877459382276
40.88130840522429,-77.68910566071536
40.88112048204423,-77.68943039399068
40.881028894576545,-77.6897848712091
40.88096145079564,-77.69013977748398
40.880920072003406,-77.69039656872587
40.88079420144418,-77.69072304855173
40.88078962607426,-77.69074881838864
40.88076950204351,-77.69105938105531
40.880762914823244,-77.69134235763765
40.880649940163785,-77.69164938617686
40.88054104570006,-77.69196997090646
40.88037487789492,-77.69233535554223
40.880356586782526,-77.69237695807477
40.8801988205153,-77.69273690902602
40.8800984353274,-77.69301363593036
40.880092953428345,-77.69302855751485
40.87994942220316,-77.69338668510092
40.879884057242315,-77.69371852685059
40.879752418645054,-77.69410828327425
40.87971426442467,-77.69431217791264
40.87970609467811,-77.69435603102146
40.879620630249484,-77.69454550056885
40.87953039484774,-77.69462513244704
40.879395234844544,-77.69474503171243
40.879308033920864,-77.6949810593533
40.879244928098686,-77.69520440974487
40.879157695871335,-77.69546665335122
40.87904193286246,-77.6957953664591
40.87891674070523,-77.69613809866702
40.8787548548841,-77.69651792475489
40.8787328795945,-77.6965712805044
40.87858290673178,-77.69693437030007
40.87851115764186,-77.69720834890241
40.878498913910576,-77.69725491620223
40.878485937139665,-77.69729289580336
40.8783634482869,-77.6976487284897
40.87831449237896,-77.69797240876709
40.87821708841828,-77.69832595947875
40.87801592923416,-77.69864840138783
40.87787027616572,-77.69890435277857
40.8777396463253,-77.69909520211752
40.87753111925792,-77.69934487177728
40.87738832177995,-77.69956420501208
40.877318253629966,-77.69967680829318
40.87720113044592,-77.69986538416693
40.877161661650035,-77.6999309549982
40.87715030412345,-77.69994723582714
40.87696596815306,-77.70020953832129
40.87686741293353,-77.70039674221567
40.876838703194004,-77.70045100421689
40.8766800854707,-77.70068571266715
40.87654044668775,-77.70087656174074
40.87642408182567,-77.70103801268178
40.876298122744274,-77.70122839811562
40.87623040478318,-77.70142551975965
40.87617096492201,-77.7016262508914
40.87615704704327,-77.70167326893818
40.8759938811289,-77.70190842732804
40.87585411429951,-77.70210559984878
40.87566447805644,-77.70231907952366
40.87548422713918,-77.70251763540453
40.87545936387289,-77.70254251299559
40.87535597222434,-77.70265874973582
40.87523659163527,-77.70279307726793
40.87521177250269,-77.70282111857078
40.87516959667267,-77.70287809974667
40.875100281355614,-77.70295227593154
40.875051457339644,-77.70311141153717
40.87494649713074,-77.70316888910267
40.874881558356456,-77.70324893747805
40.87482103950878,-77.70333576239157
40.87468779558601,-77.70344433409541
40.874620707527,-77.70361794482825
40.874564648677165,-77.70370521790385
40.87447180550145,-77.70382099183672
40.87441728051334,-77.70388385621318
